,,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,12月,資料番号
観光,東城内駐車場利用台数,"10,255 ","9,173 ","8,668 ","8,590 ","7,098 ","8,036 ","9,949 ","10,880 ","10,053 ","9,213 ","9,771 ","7,656 ","9,066 ","7,283 ","8,004 ","9,732 ","11,714 ",3
,曳山展示場入館者数,"3,640 ","2,770 ","3,176 ","4,215 ","3,141 ","2,802 ","3,127 ","5,130 ","3,181 ","3,976 ","3,120 ","2,301 ","2,773 ","2,445 ","2,208 ","2,733 ","2,788 ",4
,旧高取邸入館者数,"2,972 ","2,590 ","2,206 ","2,098 ","1,850 ","1,984 ","2,501 ","1,891 ","1,356 ","1,657 ","1,439 ",929 ,849 ,"1,119 ",921 ,"1,177 ","1,066 ",5
,海中展望塔入場者数　　　　　　※１,"1,765 ","1,618 ","2,000 ","1,590 ","2,071 ","1,675 ","2,322 ","2,086 ","1,384 ","1,562 ","1,819 ","1,438 ","1,495 ","1,274 ",,"5,127 ","4,129 ",6
,鳴神温泉ななのゆ入館者数,"12,874 ","13,011 ","14,351 ","13,671 ","13,803 ","13,320 ","13,867 ","13,418 ","12,964 ","12,656 ","11,991 ","8,271 ","10,127 ","10,335 ","9,793 ","11,581 ","11,121 ",7
,主なホテルの宿泊者数　　　　　※２,"8,968 ","9,202 ","10,532 ","10,313 ","11,522 ","12,742 ","15,342 ","13,868 ","11,207 ","10,314 ","11,602 ","11,370 ","14,697 ","16,483 ","14,756 ","14,724 ",,8
,宿泊者数（千人）　　　　　　　※３,,31 ,19 ,25 ,32 ,37 ,53 ,47 ,39 ,35 ,37 ,40 ,42 ,46 ,38 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"3,432 ","3,369 ","4,320 ","3,574 ","3,744 ","4,311 ","4,192 ","3,857 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"2,021 ","1,993 ","2,499 ","2,117 ","2,273 ","1,844 ","1,817 ","1,870 ","1,663 ","1,657 ","1,603 ","1,847 ","1,749 ","1,610 ","1,530 ","1,737 ","1,594 ",11
,唐津城入館者数　　　　　　　　※５,"4,710 ","4,758 ","4,762 ","4,801 ","5,635 ","5,761 ","8,917 ",,"7,399 ","7,297 ","6,660 ","6,026 ","5,667 ","8,090 ","7,249 ","8,271 ","9,071 ",12
,呼子町臨港駐車場利用台数,"3,656 ","3,715 ","3,783 ","3,467 ","4,123 ","4,273 ","6,313 ","5,343 ","4,398 ","4,592 ","4,880 ","4,422 ","3,851 ","3,850 ","3,834 ","4,730 ","5,689 ",13
