,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,
,,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,5月,資料番号
観光,東城内駐車場利用台数,"14,220 ","14,343 ","13,343 ","12,041 ","12,589 ","12,554 ","11,974 ","14,760 ","11,953 ","13,218 ","3,267 ","7,071 ","11,362 ","11,463 ","10,951 ","11,127 ",3
,曳山展示場入館者数,"7,342 ","7,988 ","6,900 ","6,583 ","7,634 ","7,766 ","7,554 ","8,374 ","6,829 ","6,965 ",277 ,"1,688 ","3,571 ","4,778 ","3,756 ","4,338 ",4
,旧高取邸入館者数,"5,619 ","5,415 ","4,310 ","4,385 ","4,730 ","5,235 ","4,066 ","3,924 ","3,322 ","3,422 ",103 ,680 ,"1,579 ","1,939 ","1,754 ","1,855 ",5
,海中展望塔入場者数　　　　　　※１,"8,300 ","7,091 ","6,725 ","6,902 ","7,180 ","7,029 ","5,636 ","6,269 ","3,615 ","6,620 ",668 ,"3,038 ","4,432 ","4,232 ","10,661 ","7,157 ",6
,鳴神温泉ななのゆ入館者数,"19,717 ","18,672 ","16,677 ","17,677 ","17,012 ","18,710 ","18,205 ","16,218 ","14,376 ","14,762 ","2,384 ","8,765 ","11,592 ","11,953 ","11,380 ","11,631 ",7
,主なホテルの宿泊者数　　　　　※２,"11,667 ","10,149 ","10,737 ","14,450 ","12,961 ","16,132 ","11,415 ","15,319 ","11,572 ","12,384 ",558 ,"4,315 ","13,091 ","15,641 ","14,274 ",,8
,宿泊者数（千人）　　　　　　　※３,40 ,44 ,40 ,42 ,44 ,74 ,47 ,54 ,45 ,63 ,7 ,15 ,38 ,41 ,,,10
,市内４国民宿舎宿泊者数　　　　※４,"5,149 ","5,270 ","5,043 ","5,699 ","5,180 ","5,738 ","5,144 ",,,,,,,,,,
,鷹島肥前大橋展望広場利用者数,"4,595 ","2,864 ","4,049 ","3,601 ","3,188 ","3,102 ","2,811 ","2,730 ","2,164 ","2,557 ","1,327 ","2,246 ","2,450 ","2,103 ","2,252 ","2,323 ",11
,唐津城入館者数　　　　　　　　※５,"15,525 ","15,895 ","14,072 ","15,126 ","16,358 ","18,166 ","17,116 ",,"17,367 ","20,056 ",793 ,"6,953 ","14,105 ","16,808 ","15,281 ","15,259 ",12
,呼子町臨港駐車場利用台数,"8,088 ","8,371 ","7,483 ","7,700 ","7,923 ","8,862 ","8,360 ","8,750 ","7,300 ","8,780 ","1,267 ","4,541 ","7,023 ","7,010 ","6,378 ","6,526 ",13
,名護屋城博物館入館者数,"10,494 ","9,153 ","9,465 ","9,821 ","9,408 ","10,954 ","11,625 ","11,314 ","9,142 ","9,058 ",888 ,"4,077 ","13,154 ","8,315 ","10,254 ","8,868 ",14
,道の駅桃山天下市利用客数　　　※６,,,,,,"27,280 ","23,416 ","23,332 ","20,287 ","23,602 ","7,245 ","15,060 ","21,979 ","19,430 ","22,144 ","19,111 ",15
,道の駅厳木ふるさと館利用客数,"20,906 ","18,316 ","19,335 ","19,457 ","18,269 ","18,486 ","17,299 ","16,853 ","15,417 ","16,071 ","8,236 ","13,785 ","15,964 ","15,327 ","16,198 ","16,641 ",16
企業活動,制度融資貸付額（千円）,"54,100 ","83,150 ","152,500 ","122,100 ","143,300 ","170,700 ","45,360 ","114,600 ","59,900 ","62,600 ","36,490 ","27,160 ","81,200 ","121,100 ","60,100 ","125,570 ",17
,公共工事前払保証請負金額（百万円）　※７,348 ,295 ,797 ,372 ,350 ,656 ,"1,064 ",262 ,183 ,304 ,266 ,"1,950 ",774 ,65 ,,,18
,大口契約の水道使用量,"39,048 ","37,908 ","40,101 ","41,323 ","39,773 ","37,342 ","41,802 ","38,186 ","43,097 ","44,404 ","48,129 ","34,393 ","40,599 ","45,330 ","44,805 ","52,264 ",19
,唐津港輸出入額（千円）,"983,463 ","2,123,017 ","2,661,890 ","2,138,160 ","1,824,631 ","1,103,595 ","689,830 ","1,564,633 ","1,242,438 ","1,697,167 ","2,263,143 ","2,937,058 ","2,970,365 ","4,184,416 ","2,976,923 ","697,842 ",20
一次産業,JAからつ総出荷額（千円）,"1,784,423 ","1,869,904 ","2,373,850 ","2,443,061 ","2,456,846 ","2,432,208 ","2,672,934 ","2,458,311 ","2,297,076 ","2,503,068 ","2,006,502 ","2,236,237 ","2,399,920 ","2,147,683 ","2,114,782 ","2,044,191 ",21
,唐津港魚市場取扱量（トン）,"2,887 ","2,066 ","2,313 ","1,764 ","2,037 ","3,168 ","3,026 ","2,110 ","2,768 ","1,555 ","3,072 ","1,980 ","2,705 ","2,756 ","1,973 ","3,303 ",23
