,,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31/R1,R2,R3,R4,R5,R6,R7,R8,
,,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,
,,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,1月,資料番号
観光,東城内駐車場利用台数,"6,579 ","5,754 ","6,106 ","6,700 ","7,861 ","6,483 ","5,582 ","8,310 ","8,114 ","8,717 ","8,454 ","4,698 ","7,830 ","6,867 ","7,203 ","7,702 ","9,162 ",3
,曳山展示場入館者数,"4,722 ","3,857 ","4,803 ","4,357 ","4,813 ","5,372 ","5,114 ","6,746 ","5,088 ","4,872 ","5,189 ","1,538 ","2,170 ","2,306 ","2,531 ","2,828 ","2,614 ",4
,旧高取邸入館者数,"2,822 ","2,437 ","2,207 ","2,014 ","1,648 ","2,888 ","1,993 ","2,030 ","1,243 ","1,502 ","1,312 ",244 ,558 ,840 ,746 ,882 ,979 ,5
,海中展望塔入場者数　　　　　　※１,"2,901 ","1,530 ","2,367 ","1,860 ","2,821 ","1,932 ","2,504 ","2,175 ","1,463 ","1,759 ","1,889 ",838 ,"1,584 ","1,429 ",,"4,105 ","3,714 ",6
,鳴神温泉ななのゆ入館者数,"20,065 ","16,787 ","20,792 ","19,137 ","19,319 ","19,570 ","17,220 ","18,295 ","16,607 ","16,743 ","16,516 ","7,506 ","11,041 ","13,635 ","12,444 ","12,798 ","13,348 ",7
,主なホテルの宿泊者数,"5,805 ","8,034 ","9,941 ","6,588 ","8,043 ","9,222 ","10,206 ","10,535 ","8,642 ","7,665 ","10,834 ","3,647 ","7,560 ","11,745 ","13,791 ",,,8
,宿泊者数（千人）　　　　　　　※２,24 ,24 ,40 ,23 ,28 ,47 ,39 ,31 ,27 ,33 ,37 ,16 ,27 ,32 ,,,,10
,市内４国民宿舎宿泊者数　　　　※３,"3,840 ","4,644 ","4,499 ","3,447 ","3,520 ","3,591 ","3,204 ","4,113 ",,,,,,,,,,
